date,hospital_admission_rate,icu_hdu_admission_rate,test_positivity
2023-03-06,1.37,0.05,6.3
2023-03-13,0.63,0.13,1.95
2023-03-20,0.63,0.0,1.15
2023-03-27,1.16,0.08,2.94
2023-04-03,0.11,0.11,0.82
2023-04-10,0.32,0.0,1.96
2023-04-17,0.21,0.0,0.41
2023-04-24,0.11,0.03,0.0
2023-05-01,0.11,0.0,0.42
2023-05-08,0.0,0.0,0.0
2023-05-15,0.11,0.0,0.0
2023-07-31,0.0,0.0,1.12
2023-10-02,0.42,0.0,1.85
2023-10-09,0.11,0.0,0.0
2023-10-16,0.53,0.0,1.21
2023-10-23,0.53,0.07,1.52
2023-10-30,0.95,0.0,2.02
2023-11-06,0.74,0.0,1.35
2023-11-13,1.16,0.03,1.19
2023-11-20,1.37,0.0,1.78
2023-11-27,1.37,0.0,3.07
2023-12-04,2.42,0.03,5.92
2023-12-11,3.31,0.03,8.57
2023-12-18,4.85,0.13,11.58
2023-12-25,6.43,0.06,12.12
2024-01-01,4.03,0.03,9.14
2024-01-08,3.15,0.09,7.19
2024-01-15,5.27,0.18,7.78
2024-01-22,6.05,0.15,12.04
2024-01-29,7.17,0.33,11.27
2024-02-05,4.76,0.24,11.14
2024-02-12,3.8,0.0,9.81
2024-02-19,1.86,0.12,7.26
2024-02-26,0.95,0.06,4.59
2024-03-04,1.29,0.0,6.41
2024-03-11,1.79,0.06,6.14
2024-03-18,1.9,0.09,6.03
2024-03-25,0.74,0.06,4.36
2024-04-01,0.81,0.12,3.98
2024-04-08,0.53,0.06,1.93
2024-04-15,0.32,0.0,2.13
2024-04-22,0.32,0.0,3.01
2024-04-29,0.63,0.03,1.53
2024-05-06,0.21,0.0,1.04
2024-05-13,0.32,0.0,1.24
